sentence,label
Do you provide EMI options?,EMI
What are the EMI payment terms?,EMI
Is zero interest EMI available?,EMI
EMI duration options?,EMI
Monthly EMI payment details?,EMI
Can I pay through EMI?,EMI
EMI available on credit cards?,EMI
What's the minimum EMI amount?,EMI
EMI processing fees?,EMI
Which banks offer EMI?,EMI
No cost EMI available?,EMI
EMI tenure options?,EMI
How to apply for EMI?,EMI
EMI calculation process?,EMI
EMI documentation required?,EMI
Is COD available?,COD
Cash on delivery option?,COD
Do you accept COD?,COD
COD payment possible?,COD
Available in COD?,COD
Can I pay on delivery?,COD
COD charges?,COD
Cash payment on delivery?,COD
COD payment method available?,COD
Do you take cash on delivery?,COD
Is there COD option?,COD
Can I pay cash when delivered?,COD
COD facility available?,COD
Accept cash on delivery?,COD
COD payment terms?,COD
Is it good for back pain?,ORTHO_FEATURES
Orthopedic features available?,ORTHO_FEATURES
Benefits for back problems?,ORTHO_FEATURES
Does it support spine alignment?,ORTHO_FEATURES
Orthopedic mattress specifications?,ORTHO_FEATURES
Good for back support?,ORTHO_FEATURES
Ortho mattress features?,ORTHO_FEATURES
Back pain relief options?,ORTHO_FEATURES
Orthopedic benefits?,ORTHO_FEATURES
Spine support features?,ORTHO_FEATURES
Doctor recommended ortho features?,ORTHO_FEATURES
Ortho mattress technology?,ORTHO_FEATURES
Back care specifications?,ORTHO_FEATURES
Orthopedic support level?,ORTHO_FEATURES
Medical grade ortho features?,ORTHO_FEATURES
What ergonomic features available?,ERGO_FEATURES
Ergonomic design details?,ERGO_FEATURES
Body support features?,ERGO_FEATURES
Comfort features?,ERGO_FEATURES
Ergonomic specifications?,ERGO_FEATURES
Body contouring features?,ERGO_FEATURES
Pressure point relief?,ERGO_FEATURES
Ergonomic benefits?,ERGO_FEATURES
Posture support features?,ERGO_FEATURES
Sleep comfort features?,ERGO_FEATURES
Ergonomic technology used?,ERGO_FEATURES
Body weight distribution?,ERGO_FEATURES
Comfort layer details?,ERGO_FEATURES
Ergonomic design benefits?,ERGO_FEATURES
Motion isolation features?,ERGO_FEATURES
Which model is better?,COMPARISON
Compare soft vs firm mattress,COMPARISON
Difference between models?,COMPARISON
Best mattress type?,COMPARISON
Compare mattress features,COMPARISON
Which one should I choose?,COMPARISON
Model comparison?,COMPARISON
Difference in features?,COMPARISON
Compare prices and features,COMPARISON
Better option among these?,COMPARISON
Quality comparison?,COMPARISON
Compare specifications?,COMPARISON
Which is more durable?,COMPARISON
Feature comparison?,COMPARISON
Price and quality comparison?,COMPARISON
Warranty period?,WARRANTY
What's covered in warranty?,WARRANTY
Warranty terms?,WARRANTY
How long is the warranty?,WARRANTY
Warranty coverage details?,WARRANTY
Extended warranty available?,WARRANTY
Warranty claim process?,WARRANTY
Warranty conditions?,WARRANTY
Manufacturing warranty details?,WARRANTY
Warranty replacement process?,WARRANTY
What's the warranty duration?,WARRANTY
Warranty policy?,WARRANTY
Warranty terms and conditions?,WARRANTY
Service warranty available?,WARRANTY
Warranty support process?,WARRANTY
Trial period available?,100_NIGHT_TRIAL_OFFER
How does trial work?,100_NIGHT_TRIAL_OFFER
100 night trial details?,100_NIGHT_TRIAL_OFFER
Can I return after trial?,100_NIGHT_TRIAL_OFFER
Trial period terms?,100_NIGHT_TRIAL_OFFER
Free trial available?,100_NIGHT_TRIAL_OFFER
Trial period policy?,100_NIGHT_TRIAL_OFFER
How long is trial period?,100_NIGHT_TRIAL_OFFER
Trial offer conditions?,100_NIGHT_TRIAL_OFFER
Return during trial period?,100_NIGHT_TRIAL_OFFER
Trial period process?,100_NIGHT_TRIAL_OFFER
100 nights trial terms?,100_NIGHT_TRIAL_OFFER
Sleep trial details?,100_NIGHT_TRIAL_OFFER
Trial period guarantee?,100_NIGHT_TRIAL_OFFER
Test period available?,100_NIGHT_TRIAL_OFFER
Custom size possible?,SIZE_CUSTOMIZATION
Can size be customized?,SIZE_CUSTOMIZATION
Customization options available?,SIZE_CUSTOMIZATION
Make custom size mattress?,SIZE_CUSTOMIZATION
Special size possible?,SIZE_CUSTOMIZATION
Non-standard size available?,SIZE_CUSTOMIZATION
Custom dimensions possible?,SIZE_CUSTOMIZATION
Customize mattress size?,SIZE_CUSTOMIZATION
Special dimensions available?,SIZE_CUSTOMIZATION
Custom measurements possible?,SIZE_CUSTOMIZATION
Specific size requirements?,SIZE_CUSTOMIZATION
Personalized size options?,SIZE_CUSTOMIZATION
Custom size charges?,SIZE_CUSTOMIZATION
Unusual size possible?,SIZE_CUSTOMIZATION
Size modification available?,SIZE_CUSTOMIZATION
Which size should I buy?,WHAT_SIZE_TO_ORDER
Recommend size for me?,WHAT_SIZE_TO_ORDER
Best size for couple?,WHAT_SIZE_TO_ORDER
Size for single person?,WHAT_SIZE_TO_ORDER
What size fits my bed?,WHAT_SIZE_TO_ORDER
Size recommendation needed,WHAT_SIZE_TO_ORDER
Help choosing mattress size,WHAT_SIZE_TO_ORDER
Correct size for me?,WHAT_SIZE_TO_ORDER
Size selection help?,WHAT_SIZE_TO_ORDER
Suitable size suggestion?,WHAT_SIZE_TO_ORDER
Size guide help?,WHAT_SIZE_TO_ORDER
Size recommendation?,WHAT_SIZE_TO_ORDER
Which dimension to choose?,WHAT_SIZE_TO_ORDER
Size selection advice?,WHAT_SIZE_TO_ORDER
